Word,Mean_Burstiness,Mean_Frequency,Log_Mean_Frequency,Lexical_Class,WordBank
sad,0.17822465771201604,5.0,1.6094379124341003,Adjective,0.37
salt,-0.24224644672513004,4.5,1.5040773967762742,Noun,0.22
same,0.12583825023176792,10.0,2.302585092994046,Function,0.16
sandwich,0.4474948581468713,5.0,1.6094379124341003,Noun,0.43
sauce,0.6918035030170334,4.0,1.3862943611198906,Noun,0.31
say,0.2658364894326225,76.8,4.341204640153626,Verb,0.28
scared,0.5284530320310475,6.666666666666667,1.8971199848858813,Adjective,0.3
school,0.5037148511042349,15.8,2.760009940032921,Noun,0.49
see,0.3855598658227007,124.6,4.825108606353353,Verb,0.54
shake,0.6294090338392582,25.0,3.2188758248682006,Verb,0.3
share,0.2771152620149966,6.75,1.9095425048844386,Verb,0.33
she,0.405220332201967,162.0,5.087596335232384,Function,0.17
shirt,0.411238094043161,7.0,1.9459101490553132,Noun,0.65
shoe,0.3446307233761341,8.0,2.0794415416798357,Noun,0.89
shoulder,0.2114634678133178,4.0,1.3862943611198906,Noun,0.3
show,0.3622252029119536,17.0,2.833213344056216,Verb,0.27
shower,0.4252992579309476,12.333333333333334,2.512305623976115,Noun,0.48
sick,-0.1269718433110955,16.0,2.772588722239781,Adjective,0.28
sidewalk,0.2056215216408447,18.0,2.8903717578961645,Noun,0.25
sing,0.8412063622908246,6.0,1.791759469228055,Verb,0.46
sink,0.5964937493224808,6.333333333333333,1.8458266904983307,Noun,0.4
sister,0.28821280230239804,46.666666666666664,3.8430301339411947,Noun,0.33
sit,0.46325572829420264,34.4,3.5380565643793527,Verb,0.63
sky,-0.580240320363053,4.0,1.3862943611198906,Noun,0.47
sleep,0.3721965688512817,11.4,2.4336133554004498,Verb,0.59
sleepy,0.414213562373095,3.0,1.0986122886681098,Adjective,0.38
slide,-0.233592488347334,4.0,1.3862943611198906,Verb,0.43
slipper,0.3321357787126709,4.0,1.3862943611198906,Noun,0.31
slow,0.359327508487762,6.75,1.9095425048844386,Adjective,0.21
smile,-0.13169245515520395,3.0,1.0986122886681098,Verb,0.3
snow,0.748908881151062,36.0,3.58351893845611,Noun,0.49
snowman,0.7978393256611441,5.0,1.6094379124341003,Noun,0.32
so,0.3352670606089357,215.8,5.374352052824034,Function,0.1
soap,0.3560268636235284,11.5,2.4423470353692043,Noun,0.58
sock,0.401127475390281,4.0,1.3862943611198906,Noun,0.69
soft,-0.25635607351018946,3.5,1.252762968495368,Adjective,0.34
some,0.3369963147125786,101.6,4.6210435351443815,Function,0.3
spill,0.6876895010950814,4.0,1.3862943611198906,Verb,0.28
splash,0.5971374770984365,10.0,2.302585092994046,Verb,0.39
spoon,0.8684999717031519,16.5,2.803360380906535,Noun,0.72
stairs,0.24390637169812185,12.4,2.517696472610991,Noun,0.45
stand,0.35011571054609425,10.6,2.3608540011180215,Verb,0.34
star,-0.23724634841003042,3.5,1.252762968495368,Noun,0.6
stay,0.19145050653988674,18.6,2.9231615807191558,Verb,0.32
stick,0.5286523413069848,5.333333333333333,1.6739764335716716,Noun,0.46
sticky,-0.15063525843985714,3.5,1.252762968495368,Adjective,0.32
stop,0.26544776517188,21.75,3.079613757534693,Verb,0.59
store,0.46062457161447806,20.666666666666668,3.028522096376982,Noun,0.46
story,0.5124556923737006,20.0,2.995732273553991,Noun,0.47
strawberry,0.691007862918135,4.0,1.3862943611198906,Noun,0.55
street,0.21859533256833089,8.666666666666666,2.159484249353372,Noun,0.36
