Word	Burstiness	Frequency	Interevent Intervals	Event Onsets	POS Tag	Transcript
wha	0.13678145235976366	3	[10308597, 1121106]	[4716343, 15024940, 16146046]	NOUN	A2
picture	0.27385420576655906	3	[660165, 12643035]	[5302480, 5962645, 18605680]	NOUN	A2
million	-0.12145204813219375	6	[3825, 10832, 1722, 2609, 3537]	[2481943, 2485768, 2496600, 2498322, 2500931, 2504468]	NUM	A2
rabbit	0.3201616856503427	3	[502237, 17275]	[3074566, 3576803, 3594078]	NOUN	A2
garbage	0.6712979276017113	18	[0, 4006847, 5390, 317600, 6065, 4485, 3481138, 0, 25277, 10112, 7311, 298118, 23744, 0, 4139, 2477, 11044]	[3513898, 3513898, 7520745, 7526135, 7843735, 7849800, 7854285, 11335423, 11335423, 11360700, 11370812, 11378123, 11676241, 11699985, 11699985, 11704124, 11706601, 11717645]	NOUN	A2
right	0.24789235293664946	118	[11445, 9020, 5540, 16095, 58101, 43469, 73236, 92589, 6235, 49114, 31666, 111000, 484335, 84201, 37984, 154395, 3450, 407565, 232088, 23640, 455152, 650401, 66660, 37709, 10016, 368564, 241170, 65163, 312702, 32175, 93503, 183632, 50770, 233890, 44061, 677804, 66750, 391920, 54570, 160920, 11910, 108736, 470904, 0, 388500, 84240, 60150, 66590, 99075, 17175, 52960, 1740, 9770, 39160, 242700, 133020, 133005, 2110177, 154029, 192291, 250500, 325062, 192196, 141820, 122249, 193847, 201240, 21175, 3765, 4285, 15970, 15520, 122940, 383852, 5252, 115826, 461780, 142585, 20865, 1734, 680, 2036, 15344, 3801, 3220, 1090, 1490, 1235, 1180, 1785, 2411, 1124, 25116, 1279518, 203655, 392236, 136022, 282672, 261806, 150926, 118517, 397421, 382233, 95009, 203205, 152753, 88663, 196152, 678061, 60148, 38614, 67657, 1948, 351931, 138392, 277076, 411273]	[861980, 873425, 882445, 887985, 904080, 962181, 1005650, 1078886, 1171475, 1177710, 1226824, 1258490, 1369490, 1853825, 1938026, 1976010, 2130405, 2133855, 2541420, 2773508, 2797148, 3252300, 3902701, 3969361, 4007070, 4017086, 4385650, 4626820, 4691983, 5004685, 5036860, 5130363, 5313995, 5364765, 5598655, 5642716, 6320520, 6387270, 6779190, 6833760, 6994680, 7006590, 7115326, 7586230, 7586230, 7974730, 8058970, 8119120, 8185710, 8284785, 8301960, 8354920, 8356660, 8366430, 8405590, 8648290, 8781310, 8914315, 11024492, 11178521, 11370812, 11621312, 11946374, 12138570, 12280390, 12402639, 12596486, 12797726, 12818901, 12822666, 12826951, 12842921, 12858441, 12981381, 13365233, 13370485, 13486311, 13948091, 14090676, 14111541, 14113275, 14113955, 14115991, 14131335, 14135136, 14138356, 14139446, 14140936, 14142171, 14143351, 14145136, 14147547, 14148671, 14173787, 15453305, 15656960, 16049196, 16185218, 16467890, 16729696, 16880622, 16999139, 17396560, 17778793, 17873802, 18077007, 18229760, 18318423, 18514575, 19192636, 19252784, 19291398, 19359055, 19361003, 19712934, 19851326, 20128402, 20539675]	INTJ	A2
when	0.22849202821111328	67	[722046, 108500, 1315, 108618, 236060, 291538, 26630, 65104, 47816, 45844, 10700, 50030, 33080, 176900, 0, 318038, 26865, 961006, 412771, 297150, 136890, 23175, 370248, 3575, 159742, 793730, 8760, 506600, 18350, 152300, 142280, 68040, 2415311, 169079, 179601, 0, 195410, 551410, 0, 261390, 229630, 744772, 207233, 5600, 213199, 129081, 58659, 138560, 2970, 88290, 997730, 314280, 484162, 304449, 18875, 429085, 138590, 393684, 300094, 50696, 173616, 1279162, 3466, 24627, 160649, 4224]	[2447259, 3169305, 3277805, 3279120, 3387738, 3623798, 3915336, 3941966, 4007070, 4054886, 4100730, 4111430, 4161460, 4194540, 4371440, 4371440, 4689478, 4716343, 5677349, 6090120, 6387270, 6524160, 6547335, 6917583, 6921158, 7080900, 7874630, 7883390, 8389990, 8408340, 8560640, 8702920, 8770960, 11186271, 11355350, 11534951, 11534951, 11730361, 12281771, 12281771, 12543161, 12772791, 13517563, 13724796, 13730396, 13943595, 14072676, 14131335, 14269895, 14272865, 14361155, 15358885, 15673165, 16157327, 16461776, 16480651, 16909736, 17048326, 17442010, 17742104, 17792800, 17966416, 19245578, 19249044, 19273671, 19434320, 19438544]	SCONJ	A2
tiredest	-0.8025492656346683	3	[2212, 1670]	[2533887, 2536099, 2537769]	ADJ	A2
juice	0.2358678509135291	6	[177573, 541735, 141130, 8650, 10907]	[14576092, 14753665, 15295400, 15436530, 15445180, 15456087]	PROPN	A2
Bob	-0.186901303566676	3	[8619, 31936]	[3029606, 3038225, 3070161]	PROPN	A2
pull	-0.1483588420501437	8	[5450549, 725070, 49695, 2949051, 2875474, 1905034, 1945222]	[2555996, 8006545, 8731615, 8781310, 11730361, 14605835, 16510869, 18456091]	VERB	A2
happened	-0.5138246229858848	3	[3962730, 8114675]	[3612440, 7575170, 15689845]	VERB	A2
cause	0.5084291671716983	8	[63095, 1371247, 0, 512150, 11310, 2007650, 8665277]	[4670198, 4733293, 6104540, 6104540, 6616690, 6628000, 8635650, 17300927]	VERB	A2
fun	0.540692171962014	7	[2753525, 15590, 182140, 806568, 348737, 11905250]	[1372540, 4126065, 4141655, 4323795, 5130363, 5479100, 17384350]	NOUN	A2
tomorrow	0.570931197395323	17	[10735, 1365013, 2604312, 7139234, 117462, 37909, 4011, 3040, 26289, 4760, 16721, 27435, 514070, 1138459, 61530, 280400]	[2292810, 2303545, 3668558, 6272870, 13412104, 13529566, 13567475, 13571486, 13574526, 13600815, 13605575, 13622296, 13649731, 14163801, 15302260, 15363790, 15644190]	NOUN	A2
barbie	0.414213562373095	3	[0, 6088]	[17542081, 17542081, 17548169]	VERB	A2
bout	-0.14562811457491226	5	[2140420, 7148391, 2189744, 1684600]	[4473790, 6614210, 13762601, 15952345, 17636945]	ADV	A2
giving	0.7542690893842496	5	[1970, 274462, 16598, 9346599]	[4810228, 4812198, 5086660, 5103258, 14449857]	VERB	A2
today	0.26623869728115906	41	[711547, 264025, 265905, 258610, 215205, 62735, 577743, 744832, 509427, 414438, 881385, 6555, 17370, 637154, 166596, 440175, 25515, 3405, 1928165, 4056715, 37877, 169299, 8490, 53030, 537170, 464776, 22368, 13661, 976799, 351235, 24685, 105965, 41355, 48315, 631181, 43656, 1283639, 534026, 1682474, 15530]	[86963, 798510, 1062535, 1328440, 1587050, 1802255, 1864990, 2442733, 3187565, 3696992, 4111430, 4992815, 4999370, 5016740, 5653894, 5820490, 6260665, 6286180, 6289585, 8217750, 12274465, 12312342, 12481641, 12490131, 12543161, 13080331, 13545107, 13567475, 13581136, 14557935, 14909170, 14933855, 15039820, 15081175, 15129490, 15760671, 15804327, 17087966, 17621992, 19304466, 19319996]	NOUN	A2
hear	-0.03702669907070745	18	[2385, 50580, 2003045, 682973, 1999862, 948720, 645358, 2050, 973312, 3017332, 2668379, 480440, 850, 2541530, 180823, 2401208, 929742]	[590295, 592680, 643260, 2646305, 3329278, 5329140, 6277860, 6923218, 6925268, 7898580, 10915912, 13584291, 14064731, 14065581, 16607111, 16787934, 19189142, 20118884]	VERB	A2
kitchen	0.41229088107761336	3	[2832, 4163280]	[3478648, 3481480, 7644760]	NOUN	A2
both	0.3996119908047467	18	[739810, 762990, 325635, 87275, 0, 3320, 0, 2130, 0, 1500, 0, 2336950, 123470, 3632266, 1617935, 5292239, 6334]	[4545880, 5285690, 6048680, 6374315, 6461590, 6461590, 6464910, 6464910, 6467040, 6467040, 6468540, 6468540, 8805490, 8928960, 12561226, 14179161, 19471400, 19477734]	PRON	A2
Auntie	0.6667736104720517	9	[0, 1786845, 12655, 85915, 26598, 158822, 183874, 53456]	[3187565, 3187565, 4974410, 4987065, 5072980, 5099578, 5258400, 5442274, 5495730]	NOUN	A2
we're	0.15328986682130966	56	[194006, 368800, 13965, 35070, 307294, 442081, 774569, 297462, 316819, 1128625, 325023, 14185, 0, 452383, 92324, 65625, 263474, 348121, 674130, 876925, 3760, 947815, 345940, 2830, 4320, 2243182, 197929, 27410, 58380, 77022, 135368, 1166505, 315680, 388005, 21313, 53169, 46450, 218673, 360280, 189674, 1320310, 459285, 257774, 658839, 7344, 2526, 513988, 15319, 1979, 619108, 22417, 2554, 8500, 145570, 82528]	[485764, 679770, 1048570, 1062535, 1097605, 1404899, 1846980, 2621549, 2919011, 3235830, 4364455, 4689478, 4703663, 4703663, 5156046, 5248370, 5313995, 5577469, 5925590, 6599720, 7476645, 7480405, 8428220, 8774160, 8776990, 8781310, 11024492, 11222421, 11249831, 11308211, 11385233, 11520601, 12687106, 13002786, 13390791, 13412104, 13465273, 13511723, 13730396, 14090676, 14280350, 15600660, 16059945, 16317719, 16976558, 16983902, 16986428, 17500416, 17515735, 17517714, 18136822, 18159239, 18161793, 18170293, 18315863, 18398391]	PRON	A2
were	0.21144288633308114	33	[63880, 417910, 13364, 1421506, 602118, 259322, 685615, 549441, 812453, 2693711, 4122121, 43705, 247445, 97330, 224595, 180585, 609766, 0, 0, 480333, 90855, 636890, 337985, 159785, 566412, 750531, 1878, 1013875, 4443, 885600, 503761, 781253]	[840200, 904080, 1321990, 1335354, 2756860, 3358978, 3618300, 4303915, 4853356, 5665809, 8359520, 12481641, 12525346, 12772791, 12870121, 13094716, 13275301, 13885067, 13885067, 13885067, 14365400, 14456255, 15093145, 15431130, 15590915, 16157327, 16907858, 16909736, 17923611, 17928054, 18813654, 19317415, 20098668]	AUX	A2
temperature	0.40528188978259805	3	[21260, 6711226]	[1226824, 1248084, 7959310]	NOUN	A2
taken	0.41372590362132944	3	[2835, 16440202]	[830135, 832970, 17273172]	VERB	A2
nails	0.414213562373095	3	[0, 6184213]	[1410422, 1410422, 7594635]	NOUN	A2
mittens	0.414213562373095	3	[162225, 0]	[12743421, 12905646, 12905646]	NOUN	A2
seem	0.19976715929274988	4	[190915, 11487471, 3356864]	[2089800, 2280715, 13768186, 17125050]	VERB	A2
brr	-0.97528053570829	3	[5340, 5530]	[699510, 704850, 710380]	PROPN	A2
paper	0.6484915715306812	8	[855762, 3827152, 194374, 3561, 42060, 4893, 2552]	[12350263, 13206025, 17033177, 17227551, 17231112, 17273172, 17278065, 17280617]	NOUN	A2
let's	0.32441186998241517	111	[30758, 214679, 215305, 3390, 38025, 37465, 16880, 10060, 70000, 1360895, 125180, 97125, 20590, 7330, 49497, 146970, 30186, 8903, 1970, 15788, 402992, 1134054, 96460, 62245, 52840, 21645, 0, 4700, 2770, 2820, 538740, 0, 212456, 1164, 280880, 712170, 490980, 452066, 214199, 639525, 187900, 125830, 508380, 9810, 83645, 14330, 2307821, 40305, 73540, 52489, 315541, 213568, 84180, 276791, 75642, 36842, 82757, 6490, 108715, 873462, 737635, 73338, 14422, 73840, 65194, 903143, 223177, 32730, 2372, 359779, 34857, 130097, 5683, 4056, 147652, 52873, 619121, 90882, 151215, 2952, 129567, 3809, 97260, 246603, 46071, 85597, 89230, 36284, 43394, 0, 66843, 84444, 6481, 57946, 3172, 30111, 30000, 5670, 1844, 24374, 19459, 1687, 11616, 121423, 3112, 474722, 134155, 16662, 221542, 835082]	[132948, 163706, 378385, 593690, 597080, 635105, 672570, 689450, 699510, 769510, 2130405, 2255585, 2352710, 2373300, 2380630, 2430127, 2577097, 2607283, 2616186, 2618156, 2633944, 3036936, 4170990, 4267450, 4329695, 4382535, 4404180, 4404180, 4408880, 4411650, 4414470, 4953210, 4953210, 5165666, 5166830, 5447710, 6159880, 6650860, 7102926, 7317125, 7956650, 8144550, 8270380, 8778760, 8788570, 8872215, 8886545, 11194366, 11234671, 11308211, 11360700, 11676241, 11889809, 11973989, 12250780, 12326422, 12363264, 12446021, 12452511, 12561226, 13434688, 14172323, 14245661, 14260083, 14333923, 14399117, 15302260, 15525437, 15558167, 15560539, 15920318, 15955175, 16085272, 16090955, 16095011, 16242663, 16295536, 16914657, 17005539, 17156754, 17159706, 17289273, 17293082, 17390342, 17636945, 17683016, 17768613, 17857843, 17894127, 17937521, 17937521, 18004364, 18088808, 18095289, 18153235, 18156407, 18186518, 18216518, 18222188, 18224032, 18248406, 18267865, 18269552, 18281168, 18402591, 18405703, 18880425, 19014580, 19031242, 19252784, 20087866]	VERB	A2
job	0.17777586700076925	32	[531047, 637, 31450, 0, 0, 591866, 534020, 1412575, 7915, 38230, 277840, 134110, 4000, 86775, 96885, 210560, 7920, 587660, 7065, 2199842, 87814, 172116, 357199, 285252, 496283, 596890, 1684984, 282765, 1370255, 60283, 1150760]	[4302050, 4833097, 4833734, 4865184, 4865184, 4865184, 5457050, 5991070, 7403645, 7411560, 7449790, 7727630, 7861740, 7865740, 7952515, 8049400, 8259960, 8267880, 8855540, 8862605, 11062447, 11150261, 11322377, 11679576, 11964828, 12461111, 13058001, 14742985, 15025750, 16396005, 16456288, 17607048]	NOUN	A2
daddy	-0.7785479335710899	3	[5887, 8073]	[12150934, 12156821, 12164894]	NOUN	A2
pretty	0.2669547464271974	6	[2514703, 592042, 9943426, 1369269, 876975]	[1171475, 3686178, 4278220, 14221646, 15590915, 16467890]	ADV	A2
crowns	0.29838978646649794	3	[1640390, 70042]	[12523411, 14163801, 14233843]	NOUN	A2
Christmas	0.8986595406712489	7	[6218, 0, 6218, 5729, 12631842, 2458]	[1199511, 1205729, 1205729, 1211947, 1217676, 13849518, 13851976]	PROPN	A2
silly	0.34110826247612835	6	[7051715, 10907193, 197296, 6644, 103664]	[401655, 7453370, 18360563, 18557859, 18564503, 18668167]	ADJ	A2
cut	-0.006353972028569866	9	[60180, 153590, 30960, 223520, 337490, 4910, 28135, 351095]	[6406130, 6466310, 6619900, 6650860, 6874380, 7211870, 7216780, 7244915, 7596010]	VERB	A2
last	0.0862358087602681	13	[537240, 3581275, 784925, 547475, 6220976, 43705, 1023180, 1805406, 3138, 1991177, 714517, 2287163]	[809750, 1346990, 4928265, 5713190, 6260665, 12481641, 12525346, 13548526, 15353932, 15357070, 17348247, 18062764, 20349927]	ADJ	A2
be	0.19289965933977357	109	[149342, 243725, 81065, 44940, 80105, 21801, 48573, 10406, 181517, 411498, 136757, 101538, 0, 40605, 3450, 858406, 61995, 308147, 95680, 210475, 0, 324822, 0, 163910, 207165, 72070, 198633, 3315, 68730, 381882, 564809, 436226, 170545, 163915, 267180, 281586, 0, 232054, 71370, 241685, 62705, 47695, 195055, 10120, 363525, 66205, 41345, 330545, 127095, 126460, 2220891, 21590, 233946, 426165, 353065, 6072, 31150, 99876, 15847, 195679, 7475, 166030, 47635, 3710, 3655, 3565, 165015, 85360, 118785, 29655, 141420, 88275, 44132, 73640, 81413, 197800, 219004, 220706, 221459, 44035, 583565, 82730, 342329, 472712, 0, 22789, 178513, 6489, 35098, 335933, 41903, 263214, 241779, 0, 3046, 140273, 175323, 75890, 44460, 388798, 305336, 489593, 342657, 187716, 36383, 199901, 271083, 132806]	[578533, 727875, 971600, 1052665, 1097605, 1177710, 1199511, 1248084, 1258490, 1440007, 1851505, 1988262, 2089800, 2089800, 2130405, 2133855, 2992261, 3054256, 3362403, 3458083, 3668558, 3668558, 3993380, 3993380, 4157290, 4364455, 4436525, 4635158, 4638473, 4707203, 5089085, 5653894, 6090120, 6260665, 6424580, 6691760, 6973346, 6973346, 7205400, 7276770, 7518455, 7581160, 7628855, 7823910, 7834030, 8197555, 8263760, 8305105, 8635650, 8762745, 8889205, 11110096, 11131686, 11365632, 11791797, 12144862, 12150934, 12182084, 12281960, 12297807, 12493486, 12500961, 12666991, 12714626, 12718336, 12721991, 12725556, 12890571, 12975931, 13094716, 13124371, 13265791, 13354066, 13398198, 13471838, 13553251, 13751051, 13970055, 14190761, 14412220, 14456255, 15039820, 15122550, 15464879, 15937591, 15937591, 15960380, 16138893, 16145382, 16180480, 16516413, 16558316, 16821530, 17063309, 17063309, 17066355, 17206628, 17381951, 17457841, 17502301, 17891099, 18196435, 18686028, 19028685, 19216401, 19252784, 19452685, 19723768, 19856574]	AUX	A2
tonight	0.48783829332895573	7	[7498444, 184332, 53295, 85564, 2374402, 499986]	[5913660, 13412104, 13596436, 13649731, 13735295, 16109697, 16609683]	NOUN	A2
afternoon	0.16818361468966356	5	[152432, 743740, 2386953, 315488]	[1102525, 1254957, 1998697, 4385650, 4701138]	NOUN	A2
to	0.4681816732866208	528	[13146, 18569, 7853, 7994, 309558, 81249, 6960, 29736, 4850, 34925, 16298, 4977, 78440, 6650, 3970, 83284, 10616, 9490, 6790, 36520, 20930, 18270, 7210, 3060, 4685, 9020, 11010, 39805, 0, 3685, 4245, 44250, 23235, 39895, 0, 43635, 0, 5400, 0, 0, 4920, 0, 145559, 27783, 96673, 32359, 58726, 422560, 42832, 4780, 27493, 14720, 12252, 5720, 4715, 0, 78768, 6100, 6235, 127860, 10420, 27505, 51595, 7050, 15810, 3735, 0, 9450, 32190, 8250, 41811, 21783, 205246, 24224, 115301, 12493, 0, 30390, 2057, 1673, 2317, 43150, 34901, 22000, 17140, 19119, 5051, 9940, 9160, 0, 11645, 19849, 5310, 13711, 18225, 53550, 5819, 20635, 30550, 6850, 0, 5965, 198188, 0, 103990, 25295, 147555, 0, 41884, 11660, 2435, 4103, 66657, 5233, 1440, 100731, 12635, 12575, 10799, 13146, 28960, 12564, 0, 90290, 21620, 79845, 12205, 17365, 1535, 7110, 21495, 59070, 31705, 2815, 2210, 8065, 15745, 4345, 2640, 24715, 28000, 8630, 11855, 1940, 27210, 19385, 83975, 3075, 54933, 3852, 0, 27508, 2300, 20660, 2505, 9155, 0, 2525, 0, 3540, 21210, 69597, 1526, 10692, 1970, 786, 35837, 27494, 5200, 85835, 7060, 18405, 6555, 30830, 0, 13700, 2405, 2615, 1770, 22290, 8430, 30180, 10780, 6588, 1405, 6215, 87112, 3676, 33664, 31340, 77055, 13475, 135830, 55430, 21810, 46746, 18059, 128075, 19440, 30120, 83490, 0, 3690, 44050, 34440, 46495, 34915, 4630, 33250, 93235, 61255, 0, 19995, 43965, 27035, 5460, 10155, 0, 21660, 18450, 11278, 17531, 19381, 11787, 16858, 54900, 135445, 7470, 143405, 1765, 76758, 81442, 2450, 58631, 45060, 0, 96659, 11380, 1510, 58480, 1260, 14545, 3355, 26520, 64260, 66660, 72765, 11685, 37350, 72690, 235530, 175580, 0, 51860, 137665, 56610, 103235, 8725, 2590, 123270, 4980, 4395, 150620, 15400, 16895, 2905, 29975, 41560, 25875, 58950, 30960, 1996922, 20559, 0, 235600, 7750, 19640, 13825, 2685, 18945, 43000, 0, 0, 3205, 0, 2505, 0, 15840, 5980, 23527, 4782, 37918, 0, 7110, 3821, 22991, 3858, 1861, 4620, 304613, 3364, 329900, 73630, 10971, 37222, 2382, 2346, 2578, 2272, 70803, 4070, 15236, 0, 0, 189, 19030, 7383, 0, 99562, 4246, 41650, 0, 27810, 11845, 7475, 65935, 29590, 64295, 39426, 190364, 6170, 6640, 13815, 177520, 0, 23345, 16820, 14100, 3640, 7063, 0, 3922, 12435, 12475, 37037, 8968, 56910, 85802, 113648, 16842, 21843, 47605, 29525, 4865, 3075, 115760, 20655, 0, 195345, 195775, 12875, 97555, 32234, 2780, 8165, 68240, 48200, 44035, 73005, 4025, 21180, 10725, 3580, 0, 4250, 32815, 3528, 33089, 52393, 38025, 3413, 85912, 79600, 53688, 12842, 18650, 0, 61250, 51185, 6575, 0, 1190, 0, 195085, 15390, 183934, 72591, 26485, 89185, 27259, 29299, 20691, 120907, 9963, 12199, 105163, 47404, 34595, 34111, 7457, 0, 6489, 11945, 23153, 4738, 0, 86429, 1848, 41353, 0, 2871, 57860, 25400, 60797, 0, 18875, 30218, 34598, 31528, 31335, 3676, 18680, 7671, 34704, 155372, 15572, 36617, 4167, 97375, 81145, 3046, 58695, 81578, 0, 66544, 25570, 29856, 50773, 17189, 3555, 7569, 50157, 77379, 49818, 34604, 39365, 38488, 37573, 4425, 26796, 26511, 0, 93502, 33846, 5063, 4492, 23063, 3201, 10449, 34173, 49148, 2658, 36413, 156201, 10569, 6638, 13944, 15875, 9704, 23860, 85040, 0, 2616, 0, 80084, 53836, 88761, 50092, 42959, 15093, 22862, 2319, 90464, 19378, 186422, 7592, 0, 73061, 70223, 0, 11707, 5695, 0, 61938, 60254, 0, 3060, 1948, 7185, 0, 70356, 0, 0, 0, 0, 45138, 18682, 18271, 203133, 0, 150399, 163689, 46115, 43071, 283653, 138166, 6895]	[47395, 60541, 79110, 86963, 94957, 404515, 485764, 492724, 522460, 527310, 562235, 578533, 583510, 661950, 668600, 672570, 755854, 766470, 775960, 782750, 819270, 840200, 858470, 865680, 868740, 873425, 882445, 893455, 933260, 933260, 936945, 941190, 985440, 1008675, 1048570, 1048570, 1092205, 1092205, 1097605, 1097605, 1097605, 1102525, 1102525, 1248084, 1275867, 1372540, 1404899, 1463625, 1886185, 1929017, 1933797, 1961290, 1976010, 1988262, 1993982, 1998697, 1998697, 2077465, 2083565, 2089800, 2217660, 2228080, 2255585, 2307180, 2314230, 2330040, 2333775, 2333775, 2343225, 2375415, 2383665, 2425476, 2447259, 2652505, 2676729, 2792030, 2804523, 2804523, 2834913, 2836970, 2838643, 2840960, 2884110, 2919011, 2941011, 2958151, 2977270, 2982321, 2992261, 3001421, 3001421, 3013066, 3032915, 3038225, 3051936, 3070161, 3123711, 3129530, 3150165, 3180715, 3187565, 3187565, 3193530, 3391718, 3391718, 3495708, 3521003, 3668558, 3668558, 3710442, 3722102, 3724537, 3728640, 3795297, 3800530, 3801970, 3902701, 3915336, 3927911, 3938710, 3951856, 3980816, 3993380, 3993380, 4083670, 4105290, 4185135, 4197340, 4214705, 4216240, 4223350, 4244845, 4303915, 4335620, 4338435, 4340645, 4348710, 4364455, 4368800, 4371440, 4396155, 4424155, 4432785, 4444640, 4446580, 4473790, 4493175, 4577150, 4580225, 4635158, 4639010, 4639010, 4666518, 4668818, 4689478, 4691983, 4701138, 4701138, 4703663, 4703663, 4707203, 4728413, 4798010, 4799536, 4810228, 4812198, 4812984, 4848821, 4876315, 4881515, 4967350, 4974410, 4992815, 4999370, 5030200, 5030200, 5043900, 5046305, 5048920, 5050690, 5072980, 5081410, 5111590, 5122370, 5128958, 5130363, 5136578, 5223690, 5227366, 5261030, 5292370, 5369425, 5382900, 5518730, 5574160, 5595970, 5642716, 5660775, 5788850, 5808290, 5838410, 5921900, 5921900, 5925590, 5969640, 6004080, 6050575, 6085490, 6090120, 6123370, 6216605, 6277860, 6277860, 6297855, 6341820, 6368855, 6374315, 6384470, 6384470, 6406130, 6424580, 6435858, 6453389, 6472770, 6484557, 6501415, 6556315, 6691760, 6699230, 6842635, 6844400, 6921158, 7002600, 7005050, 7063681, 7108741, 7108741, 7205400, 7216780, 7218290, 7276770, 7278030, 7292575, 7295930, 7322450, 7386710, 7453370, 7526135, 7537820, 7575170, 7647860, 7883390, 8058970, 8058970, 8110830, 8248495, 8305105, 8408340, 8417065, 8419655, 8542925, 8547905, 8552300, 8702920, 8718320, 8735215, 8738120, 8768095, 8809655, 8835530, 8894480, 8925440, 10922362, 10942921, 10942921, 11178521, 11186271, 11205911, 11219736, 11222421, 11241366, 11284366, 11284366, 11284366, 11287571, 11287571, 11290076, 11290076, 11305916, 11311896, 11335423, 11340205, 11378123, 11378123, 11385233, 11389054, 11412045, 11415903, 11417764, 11422384, 11726997, 11730361, 12060261, 12133891, 12144862, 12182084, 12184466, 12186812, 12189390, 12191662, 12262465, 12266535, 12281771, 12281771, 12281771, 12281960, 12300990, 12308373, 12308373, 12407935, 12412181, 12453831, 12453831, 12481641, 12493486, 12500961, 12566896, 12596486, 12660781, 12700207, 12890571, 12896741, 12903381, 12917196, 13094716, 13094716, 13118061, 13134881, 13148981, 13152621, 13159684, 13159684, 13163606, 13176041, 13188516, 13225553, 13234521, 13291431, 13377233, 13490881, 13507723, 13529566, 13577171, 13606696, 13611561, 13614636, 13730396, 13751051, 13751051, 13946396, 14142171, 14155046, 14252601, 14284835, 14287615, 14295780, 14364020, 14412220, 14456255, 14529260, 14533285, 14554465, 14565190, 14568770, 14568770, 14573020, 14605835, 14609363, 14642452, 14694845, 14732870, 14736283, 14822195, 14901795, 14955483, 14968325, 14986975, 14986975, 15048225, 15099410, 15105985, 15105985, 15107175, 15107175, 15302260, 15317650, 15501584, 15574175, 15600660, 15689845, 15717104, 15746403, 15767094, 15888001, 15897964, 15910163, 16015326, 16062730, 16097325, 16131436, 16138893, 16138893, 16145382, 16157327, 16180480, 16185218, 16185218, 16271647, 16273495, 16314848, 16314848, 16317719, 16375579, 16400979, 16461776, 16461776, 16480651, 16510869, 16545467, 16576995, 16608330, 16612006, 16630686, 16638357, 16673061, 16828433, 16844005, 16880622, 16884789, 16982164, 17063309, 17066355, 17125050, 17206628, 17206628, 17273172, 17298742, 17328598, 17379371, 17396560, 17400115, 17407684, 17457841, 17535220, 17585038, 17619642, 17659007, 17697495, 17735068, 17739493, 17766289, 17792800, 17792800, 17886302, 17920148, 17925211, 17929703, 17952766, 17955967, 17966416, 18000589, 18049737, 18052395, 18088808, 18245009, 18255578, 18262216, 18276160, 18292035, 18301739, 18325599, 18410639, 18410639, 18413255, 18413255, 18493339, 18547175, 18635936, 18686028, 18728987, 18744080, 18766942, 18769261, 18859725, 18879103, 19065525, 19073117, 19073117, 19146178, 19216401, 19216401, 19228108, 19233803, 19233803, 19295741, 19355995, 19355995, 19359055, 19361003, 19368188, 19368188, 19438544, 19438544, 19438544, 19438544, 19438544, 19483682, 19502364, 19520635, 19723768, 19723768, 19874167, 20037856, 20083971, 20127042, 20410695, 20548861, 20555756]	PART	A2
school's	0.4112781179287047	3	[11925, 11478326]	[1596920, 1608845, 13087171]	NOUN	A2
them	0.36960790405459965	77	[514529, 528898, 1053823, 398403, 555943, 772647, 4350, 1490, 1205, 8702, 18376, 10970, 16545, 21759, 1526, 0, 0, 2853, 7839, 1970, 2609, 34014, 4535, 22959, 3250, 16965, 10505, 119015, 1078490, 898060, 56170, 467365, 72750, 552475, 126740, 0, 21725, 299275, 1100, 0, 2788854, 2357, 1011228, 2177, 132519, 3996, 6970, 112480, 40190, 46705, 119045, 10035, 31955, 6240, 769704, 155628, 41813, 281705, 0, 15360, 727174, 2835, 1386366, 247179, 948260, 206520, 0, 0, 222653, 5063, 4492, 5041, 338931, 51924, 85040, 2616]	[890370, 1404899, 1933797, 2987620, 3386023, 3941966, 4714613, 4718963, 4720453, 4721658, 4730360, 4748736, 4759706, 4776251, 4798010, 4799536, 4799536, 4799536, 4802389, 4810228, 4812198, 4814807, 4848821, 4853356, 4876315, 4879565, 4896530, 4907035, 5026050, 6104540, 7002600, 7058770, 7526135, 7598885, 8151360, 8278100, 8278100, 8299825, 8599100, 8600200, 8600200, 11389054, 11391411, 12402639, 12404816, 12537335, 12541331, 12548301, 12660781, 12700971, 12747676, 12866721, 12876756, 12908711, 12914951, 13684655, 13840283, 13882096, 14163801, 14163801, 14179161, 14906335, 14909170, 16295536, 16542715, 17490975, 17697495, 17697495, 17697495, 17920148, 17925211, 17929703, 17934744, 18273675, 18325599, 18410639, 18413255]	PRON	A2
show	0.6833540398599467	9	[508088, 1740702, 2270, 9690, 88530, 0, 2790, 8085057]	[2987620, 3495708, 5236410, 5238680, 5248370, 5336900, 5336900, 5339690, 13424747]	VERB	A2
comin	-0.1804357738289963	3	[9127745, 2429878]	[6604170, 15731915, 18161793]	VERB	A2
eleven	0.12998431287978687	5	[729346, 0, 10323885, 7674344]	[1791580, 2520926, 2520926, 12844811, 20519155]	NUM	A2
phone	0.892167721609674	15	[2745, 15705, 22780, 3625, 146423, 27105, 109217, 977025, 205645, 12503101, 1302, 0, 0, 3818]	[4911980, 4914725, 4930430, 4953210, 4956835, 5103258, 5130363, 5239580, 6216605, 6422250, 18925351, 18926653, 18926653, 18926653, 18930471]	NOUN	A2
