Word	Burstiness	Frequency	Interevent Intervals	Event Onsets	POS Tag	Transcript
butterfly	-0.040003204028449015	4	[0, 13670, 19650]	[8664252, 8664252, 8677922, 8697572]	NOUN	A1
water	0.6444757610918903	25	[2431652, 29299, 54415, 3290, 12756, 10344, 15935, 2566296, 10430, 2740, 140834, 46778, 44039, 19136, 94472, 35980, 67280, 79771, 304864, 12021, 1638, 1926, 2632, 290912]	[1642406, 4074058, 4103357, 4157772, 4161062, 4173818, 4184162, 4200097, 6766393, 6776823, 6779563, 6920397, 6967175, 7011214, 7030350, 7124822, 7160802, 7228082, 7307853, 7612717, 7624738, 7626376, 7628302, 7630934, 7921846]	NOUN	A1
fast	0.056918344040331074	3	[842886, 5829584]	[2115300, 2958186, 8787770]	ADJ	A1
three	0.20546194959347752	14	[167292, 1761503, 2162, 1452, 3280, 1965535, 1691833, 5813, 214918, 2779012, 6293, 280983, 775490]	[456098, 623390, 2384893, 2387055, 2388507, 2391787, 4357322, 6049155, 6054968, 6269886, 9048898, 9055191, 9336174, 10111664]	NUM	A1
want	0.21065438137397036	77	[2576, 293664, 118255, 48389, 39416, 86440, 72665, 139502, 162213, 112736, 47954, 0, 190650, 265895, 22127, 33357, 18042, 733271, 472144, 84120, 0, 106696, 51925, 3156, 3517, 24588, 28754, 1456, 1876, 87479, 140919, 122651, 111103, 73401, 3387, 2883, 1408, 79787, 170198, 66892, 755948, 59860, 48268, 220504, 855571, 6769, 118852, 154526, 76902, 100000, 29172, 60288, 111020, 188140, 85150, 167922, 20703, 39737, 950, 32000, 70025, 142680, 413804, 148579, 123846, 79914, 0, 0, 735095, 45934, 4689, 150519, 122808, 314045, 948520, 179168]	[527630, 530206, 823870, 942125, 990514, 1029930, 1116370, 1189035, 1328537, 1490750, 1603486, 1651440, 1651440, 1842090, 2107985, 2130112, 2163469, 2181511, 2914782, 3386926, 3471046, 3471046, 3577742, 3629667, 3632823, 3636340, 3660928, 3689682, 3691138, 3693014, 3780493, 3921412, 4044063, 4155166, 4228567, 4231954, 4234837, 4236245, 4316032, 4486230, 4553122, 5309070, 5368930, 5417198, 5637702, 6493273, 6500042, 6618894, 6773420, 6850322, 6950322, 6979494, 7039782, 7150802, 7338942, 7424092, 7592014, 7612717, 7652454, 7653404, 7685404, 7755429, 7898109, 8311913, 8460492, 8584338, 8664252, 8664252, 8664252, 9399347, 9445281, 9449970, 9600489, 9723297, 10037342, 10985862, 11165030]	VERB	A1
shake	0.4084961498334876	3	[1329545, 2693]	[8758845, 10088390, 10091083]	VERB	A1
another	0.15854338078956945	7	[122445, 0, 1825218, 786005, 1096430, 5450]	[2525500, 2647945, 2647945, 4473163, 5259168, 6355598, 6361048]	PRON	A1
ask	0.4093211703220259	3	[5796093, 10043]	[3647818, 9443911, 9453954]	VERB	A1
she'll	-0.3263797583073993	3	[2042631, 5758456]	[1107915, 3150546, 8909002]	PRON	A1
it	0.2877755603446706	334	[134463, 1435, 71510, 16885, 1930, 2810, 4890, 15700, 69680, 179960, 36080, 9615, 100756, 54356, 96291, 12402, 6279, 8946, 15012, 2393, 875, 4855, 34888, 2200, 5592, 8098, 0, 4116, 0, 0, 7092, 0, 187284, 0, 0, 0, 75043, 0, 73803, 123129, 59315, 137620, 73220, 72295, 124635, 0, 8751, 3007, 113127, 92411, 4097, 39409, 32078, 26795, 9290, 82437, 0, 35912, 6246, 39690, 22093, 15807, 81455, 1765, 62940, 3142, 5682, 0, 0, 10276, 0, 24592, 1085, 1275, 216, 1988, 14572, 139484, 92140, 102706, 0, 26082, 34008, 21560, 1535, 17744, 4470, 14556, 125244, 16150, 38097, 6763, 48453, 6000, 3757, 43134, 14827, 10322, 1518, 3929, 23320, 8313, 23182, 1522, 0, 52539, 53530, 4282, 3437, 106524, 17300, 45748, 3196, 6817, 0, 2239, 51886, 1856, 12942, 40637, 40383, 47835, 3635, 27838, 5642, 51382, 61273, 25352, 5316, 23571, 0, 2863, 0, 0, 12793, 10956, 46587, 18377, 4168, 23504, 0, 0, 0, 0, 0, 51291, 24729, 94456, 0, 10670, 50206, 41960, 4680, 36634, 0, 37799, 0, 54808, 8888, 30865, 31920, 8274, 39890, 140186, 2680, 131280, 28675, 122559, 8980, 24091, 5542, 12452, 1656, 16549, 0, 42580, 0, 13600, 2323, 167602, 84535, 92225, 61395, 50348, 1218, 0, 3735, 118406, 20024, 99425, 1336, 1924, 29464, 12741, 32912, 8295, 11483, 185580, 26482, 36775, 1988, 13224, 2520, 11395, 2941, 0, 2645, 0, 0, 0, 7574, 4673, 17202, 27145, 3602, 1474, 0, 6524, 13153, 1660, 0, 55673, 3040, 1105, 10435, 4250, 55761, 12088, 107792, 9080, 2176, 2192, 6168, 1672, 15168, 1192, 3180, 4960, 5040, 33988, 560, 34344, 7640, 36721, 73215, 22098, 54724, 4255, 92821, 33157, 2198, 58439, 6741, 6599, 10687, 13465, 950, 29262, 668, 3716, 39144, 29235, 74000, 11750, 29363, 27567, 71218, 240, 128030, 38120, 4220, 30875, 114151, 0, 2693, 2132, 22125, 44590, 2105, 1262, 1648, 43584, 4560, 0, 0, 128185, 0, 8645, 21305, 191048, 26205, 5664, 15606, 2254, 2456, 2664, 22016, 22611, 3073, 33620, 1128, 252564, 14034, 0, 6165, 0, 230442, 31211, 0, 6047, 3349, 306688, 0, 0, 0, 15311, 0, 0, 10479, 0, 10851, 3487, 5667, 1555, 21769, 4351, 47194, 64888, 98732, 526024, 74796, 396798, 157286]	[397167, 531630, 533065, 604575, 621460, 623390, 626200, 631090, 646790, 716470, 896430, 932510, 942125, 1042881, 1097237, 1193528, 1205930, 1212209, 1221155, 1236167, 1238560, 1239435, 1244290, 1279178, 1281378, 1286970, 1295068, 1295068, 1299184, 1299184, 1299184, 1306276, 1306276, 1493560, 1493560, 1493560, 1493560, 1568603, 1568603, 1642406, 1765535, 1824850, 1962470, 2035690, 2107985, 2232620, 2232620, 2241371, 2244378, 2357505, 2449916, 2454013, 2493422, 2525500, 2552295, 2561585, 2644022, 2644022, 2679934, 2686180, 2725870, 2747963, 2763770, 2845225, 2846990, 2909930, 2913072, 2918754, 2918754, 2918754, 2929030, 2929030, 2953622, 2954707, 2955982, 2956198, 2958186, 2972758, 3112242, 3204382, 3307088, 3307088, 3333170, 3367178, 3388738, 3390273, 3408017, 3412487, 3427043, 3552287, 3568437, 3606534, 3613297, 3661750, 3667750, 3671507, 3714641, 3729468, 3739790, 3741308, 3745237, 3768557, 3776870, 3800052, 3801574, 3801574, 3854113, 3907643, 3911925, 3915362, 4021886, 4039186, 4084934, 4088130, 4094947, 4094947, 4097186, 4149072, 4150928, 4163870, 4204507, 4244890, 4292725, 4296360, 4324198, 4329840, 4381222, 4442495, 4467847, 4473163, 4496734, 4496734, 4499597, 4499597, 4499597, 4512390, 4523346, 4569933, 4588310, 4592478, 4615982, 4615982, 4615982, 4615982, 4615982, 4615982, 4667273, 4692002, 4786458, 4786458, 4797128, 4847334, 4889294, 4893974, 4930608, 4930608, 4968407, 4968407, 5023215, 5032103, 5062968, 5094888, 5103162, 5143052, 5283238, 5285918, 5417198, 5445873, 5568432, 5577412, 5601503, 5607045, 5619497, 5621153, 5637702, 5637702, 5680282, 5680282, 5693882, 5696205, 5863807, 5948342, 6040567, 6101962, 6152310, 6153528, 6153528, 6157263, 6275669, 6295693, 6395118, 6396454, 6398378, 6427842, 6440583, 6473495, 6481790, 6493273, 6678853, 6705335, 6742110, 6744098, 6757322, 6759842, 6771237, 6774178, 6774178, 6776823, 6776823, 6776823, 6776823, 6784397, 6789070, 6806272, 6833417, 6837019, 6838493, 6838493, 6845017, 6858170, 6859830, 6859830, 6915503, 6918543, 6919648, 6930083, 6934333, 6990094, 7002182, 7109974, 7119054, 7121230, 7123422, 7129590, 7131262, 7146430, 7147622, 7150802, 7155762, 7160802, 7194790, 7195350, 7229694, 7237334, 7274055, 7347270, 7369368, 7424092, 7428347, 7521168, 7554325, 7556523, 7614962, 7621703, 7628302, 7638989, 7652454, 7653404, 7682666, 7683334, 7687050, 7726194, 7755429, 7829429, 7841179, 7870542, 7898109, 7969327, 7969567, 8097597, 8135717, 8139937, 8170812, 8284963, 8284963, 8287656, 8289788, 8311913, 8356503, 8358608, 8359870, 8361518, 8405102, 8409662, 8409662, 8409662, 8537847, 8537847, 8546492, 8567797, 8758845, 8785050, 8790714, 8806320, 8808574, 8811030, 8813694, 8835710, 8858321, 8861394, 8895014, 8896142, 9148706, 9162740, 9162740, 9168905, 9168905, 9399347, 9430558, 9430558, 9436605, 9439954, 9746642, 9746642, 9746642, 9746642, 9761953, 9761953, 9761953, 9772432, 9772432, 9783283, 9786770, 9792437, 9793992, 9815761, 9820112, 9867306, 9932194, 10030926, 10556950, 10631746, 11028544, 11185830]	PRON	A1
