Word,Mean_Burstiness,Mean_Frequency,Log_Mean_Frequency,Lexical_Class,WordBank
I,0.18155200596596394,35.061181434599156,3.557094576432447,Function,0.43
a,0.2004218528065741,22.265392781316347,3.1030335798179873,Function,0.29
about,-0.002028540105477173,2.413294797687861,0.8809929497931311,Function,0.06
after,0.13170225035244432,1.803030303030303,0.5894687510851038,Function,0.17
airplane,-0.4642502593578253,3.6,1.2809338454620642,Noun,0.72
all,0.13703511200889723,5.801822323462415,1.7581720619042858,Function,0.32
am,0.27638323265696674,1.5628140703517588,0.4464880874547417,Verb,0.17
an,-0.04689286116722817,1.804255319148936,0.5901479410877988,Function,0.04
and,0.20530245680936735,15.44136460554371,2.737049921879307,Function,0.28
animal,-0.20268908088360332,2.3055555555555554,0.8353216693404878,Noun,0.49
another,-0.0798860275142712,1.6596858638743455,0.5066283458306506,Function,0.22
any,-0.1797848027446225,1.81651376146789,0.5969191484653915,Function,0.12
applesauce,0.3573064614100902,2.111111111111111,0.7472144018302211,Noun,0.43
are,0.05068927132096868,9.261437908496733,2.225859318298245,Verb,0.14
around,0.17965548370700152,1.546875,0.43623676677491807,Function,0.13
asleep,0.20474619855855888,2.3658536585365852,0.861138911799075,Adjective,0.46
at,0.07943594287326584,4.315656565656566,1.4622494718611103,Function,0.19
awake,0.39458199728129906,3.0833333333333335,1.1260112628562242,Adjective,0.35
away,0.08096992387982302,2.140562248995984,0.7610685277011369,Function,0.29
baby,0.09872606329275954,2.5669291338582676,0.9427102949081163,Noun,0.87
babysitter,-0.5952355005163541,2.076923076923077,0.7308875085427924,Noun,0.11
back,0.1031859143310222,3.5301837270341205,1.2613499169092384,Function,0.34
bad,-0.4831560653712112,2.04,0.712949807856125,Adjective,0.4
ball,0.10288420272551466,4.9298245614035086,1.5953034014991956,Noun,0.95
banana,-0.3178634724927881,2.5,0.9162907318741551,Noun,0.88
basket,0.02770026936249284,1.2727272727272727,0.24116205681688804,Noun,0.38
bathroom,0.08329033617426067,1.3559322033898304,0.3044891907681621,Noun,0.54
be,0.022156141826428943,5.325,1.6724127115954888,Verb,0.12
beach,0.12661840116400314,2.2459016393442623,0.8091070616548137,Noun,0.32
bear,-0.7753332627673828,1.6,0.47000362924573563,Noun,0.73
because,-0.03789987152856671,1.9094202898550725,0.6467996828242123,Function,0.1
bed,0.0694233435978557,2.8714285714285714,1.0548096660097168,Noun,0.73
bee,-0.32130813185164625,1.9666666666666666,0.676340062243564,Noun,0.66
before,0.045110876539954596,1.5990338164251208,0.4693995821116938,Function,0.08
behind,-0.1779507408339551,1.3582089552238805,0.3061668871258839,Function,0.17
better,-0.1033480533678302,1.705521472392638,0.5338709128838747,Adjective,0.27
bib,0.2830761274056368,2.0,0.6931471805599453,Noun,0.49
big,0.1735939927441577,2.458149779735683,0.8994089448999083,Adjective,0.61
bird,0.1077303020259383,1.8571428571428572,0.6190392084062235,Noun,0.79
bite,0.288935336766842,1.6111111111111112,0.47692407209030935,Verb,0.56
blanket,-0.15229975051885536,2.0625,0.723918839226699,Noun,0.71
blow,0.0476217484221786,1.6666666666666667,0.5108256237659907,Verb,0.48
blue,-0.07877952523350419,2.1770833333333335,0.7779860604969748,Adjective,0.61
boat,0.16352318693780363,6.027777777777778,1.7963784150843496,Noun,0.68
book,0.10091631029521085,2.5545454545454547,0.9378743035413296,Noun,0.87
boots,0.4659660524534742,2.8333333333333335,1.0414538748281612,Noun,0.66
bottle,0.07894443189546906,1.5,0.4054651081081644,Noun,0.65
bowl,0.19823519116553265,1.90625,0.6451379613735847,Noun,0.62
box,0.28417040847414665,3.0697674418604652,1.1216018068928084,Noun,0.59
boy,-0.1009668004370076,1.7962962962962963,0.5857269319391084,Noun,0.49
bread,0.17305163844872815,2.6,0.9555114450274363,Noun,0.63
break,-0.246652930666427,2.263888888888889,0.817084081790707,Verb,0.42
bring,0.18538095297581408,1.9722222222222223,0.6791609385852054,Verb,0.32
broken,-0.413929460864434,1.5384615384615385,0.43078291609245434,Adjective,0.54
brown,-0.0135097176672349,1.6666666666666667,0.5108256237659907,Adjective,0.34
brush,0.4206031140105763,2.4186046511627906,0.8831907834478102,Noun,0.6
bubbles,-0.7327768264949803,2.2777777777777777,0.8232003088081431,Noun,0.82
bucket,0.08208293256361775,2.206896551724138,0.7915872533731978,Noun,0.37
build,0.1461260682566012,1.4,0.3364722366212129,Verb,0.29
but,0.05228261729757122,5.5207877461706785,1.708520557746853,Function,0.07
butter,-0.46423795161153986,1.8214285714285714,0.5996211225491218,Noun,0.42
butterfly,-0.007510550080924798,3.3333333333333335,1.2039728043259361,Noun,0.58
button,0.30987483034560415,2.6166666666666667,0.9619012431262074,Noun,0.53
buy,0.13375115624948986,2.0,0.6931471805599453,Verb,0.22
by,0.09188249937977289,2.068,0.7265819566461827,Function,0.16
cake,0.45928819102441115,3.3636363636363638,1.213022639845854,Noun,0.7
camera,0.2067770877768374,2.0,0.6931471805599453,Noun,0.35
camping,-0.020832880639872018,2.6666666666666665,0.9808292530117262,Noun,0.1
can,0.06652689800119582,11.60088691796009,2.4510815536343564,Verb,0.22
candy,-0.8809527552744866,1.4210526315789473,0.3513978868378886,Noun,0.52
car,0.14060426203110535,3.2905982905982905,1.191069399490028,Noun,0.88
careful,-0.25060448367961075,1.7744360902255638,0.5734826768038562,Adjective,0.32
carrots,0.11682184184091171,4.368421052631579,1.4744016286301573,Noun,0.52
carry,-0.10574386983677085,1.9807692307692308,0.6834852696482084,Verb,0.39
cat,-0.6303709385734848,1.434782608695652,0.3610133455373305,Noun,0.82
catch,0.3735124597596709,2.0,0.6931471805599453,Verb,0.38
cereal,-0.1963153284639695,3.0833333333333335,1.1260112628562242,Noun,0.6
chair,-0.0345772732791454,1.1777777777777778,0.16362942378180212,Noun,0.71
cheese,0.07675682685469709,3.6,1.2809338454620642,Noun,0.83
chicken,0.282872975872836,2.0,0.6931471805599453,Noun,0.58
chocolate,0.3884770863243832,1.7619047619047619,0.5663954749208014,Noun,0.48
clap,0.5830748455699633,5.631578947368421,1.7283898552954657,Verb,0.52
clean,-0.0051980083771517764,3.238709677419355,1.1751750027724825,Adjective,0.51
climb,-0.11835261390481785,2.1956521739130435,0.7864791203521645,Verb,0.39
clock,0.3523148440808101,3.727272727272727,1.3156767939059373,Noun,0.48
close,-0.20800487980772592,1.4700854700854702,0.385320542015697,Verb,0.48
closet,-0.0710329095497293,1.8148148148148149,0.5959834321062976,Noun,0.32
coffee,0.2878370160451452,2.8666666666666667,1.0531499145913523,Noun,0.48
cold,0.032325156306365524,2.6846153846153844,0.9875374717468447,Adjective,0.68
comb,0.1279385415270907,4.888888888888889,1.586965056582042,Noun,0.39
cook,-0.7824576035195121,1.7941176470588236,0.5845133395571499,Verb,0.41
cookie,-0.0081766863183132,2.625,0.965080896043587,Noun,0.81
corn,0.3988206677806896,1.625,0.4855078157817008,Noun,0.46
couch,0.4549004158082882,1.903225806451613,0.6435502394205732,Noun,0.48
could,0.06322856811741297,2.4545454545454546,0.8979415932059586,Verb,0.04
country,-0.6374225800087265,1.3333333333333333,0.28768207245178085,Noun,0.04
cover,0.4009033170801717,1.225,0.20294084399669038,Verb,0.21
crib,-0.6236305402262713,1.0869565217391304,0.083381608939051,Noun,0.37
cry,0.4142154437505533,1.3714285714285714,0.31585294941847725,Verb,0.52
cup,-0.025854631709768882,2.0638297872340425,0.7245633767933243,Noun,0.73
cut,0.0754710829187197,2.4583333333333335,0.8994836135577738,Verb,0.31
daddy,-0.3172249676210104,1.532258064516129,0.42674250655544926,Noun,0.95
dance,0.4301979962140519,3.515151515151515,1.2570826296398845,Verb,0.53
dark,-0.28858549170604997,2.142857142857143,0.7621400520468967,Adjective,0.38
day,0.0069324617752659105,2.138888888888889,0.7602864833975739,Noun,0.22
diaper,0.214655761615927,3.5396825396825395,1.264037045068586,Noun,0.73
dirty,0.00015954921826276391,2.106060606060606,0.7448191911042662,Adjective,0.59
do,0.1247777676452778,10.333333333333334,2.3353749158170367,Verb,0.43
does,0.16071070035486215,2.1284046692607004,0.7553727175267614,Verb,0.09
dog,0.07252854245311868,1.56,0.44468582126144574,Noun,0.88
don't,0.08261440500193945,8.092511013215859,2.0909390677337227,Verb,0.33
door,0.08117603360815095,1.6883116883116882,0.5237290286018985,Noun,0.71
down,0.07791132130900887,4.115196078431373,1.4146864826733792,Function,0.67
drawer,0.2993159530579595,2.4193548387096775,0.8835009090511642,Noun,0.27
drink,-0.486102452914912,1.8673469387755102,0.624518674170849,Verb,0.61
drive,0.28017110722630667,1.4642857142857142,0.3813675565291038,Verb,0.4
drop,0.10373364308918163,1.6842105263157894,0.5212969236332861,Verb,0.35
dry,0.48836761733824335,1.894736842105263,0.6390799592896695,Adjective,0.32
duck,0.12552769603339856,4.442622950819672,1.4912449567063897,Noun,0.79
dump,0.6045686259513879,2.225806451612903,0.8001193001121131,Verb,0.21
each,-0.2014339606348682,1.4745762711864407,0.38837067474886433,Function,0.05
ear,0.26424246979998506,1.8823529411764706,0.6325225587435105,Noun,0.82
eat,0.19854985836492386,4.619402985074627,1.5302654727336849,Verb,0.73
egg,0.39174647687189956,1.9,0.6418538861723947,Noun,0.64
elephant,-0.3963824274575979,2.9166666666666665,1.0704414117014134,Noun,0.63
empty,0.40583474944026887,1.6444444444444444,0.49740260343384995,Adjective,0.36
every,0.01563846399735829,1.8793103448275863,0.6309048716827245,Function,0.08
eye,-0.16654483243189266,2.5714285714285716,0.9444616088408515,Noun,0.87
face,-0.017810358389903466,2.0248447204968945,0.7054930163822447,Noun,0.53
fall,-0.2150716484982406,1.3243243243243243,0.28090238546640217,Verb,0.55
fast,-0.14189131061442165,1.4257425742574257,0.35469278273474114,Adjective,0.4
find,0.19039002357146545,1.7851239669421488,0.579487862087424,Verb,0.37
fine,0.08824800636328353,1.7163120567375887,0.5401778357785182,Adjective,0.14
finger,-0.7573173249346543,1.3958333333333333,0.3334916084830751,Noun,0.65
finish,-0.07417139200715007,2.3300970873786406,0.8459099351123555,Verb,0.27
